,Quarter,HB,CancerType,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferralsTreatedWithin31Days,Date,Pandemic,PopSize,Pandemic_cat,JustPandemic,PandemicRecovery
0,2012Q1,S08000015,Breast,176,176,0.0,0.0,373220.0,0.0,0.0,0.0
1,2012Q1,S08000015,Cervical,10,10,0.0,0.0,373220.0,0.0,0.0,0.0
2,2012Q1,S08000015,Colorectal,112,110,0.0,0.0,373220.0,0.0,0.0,0.0
3,2012Q1,S08000015,Head & Neck,34,32,0.0,0.0,373220.0,0.0,0.0,0.0
4,2012Q1,S08000015,Lung,148,148,0.0,0.0,373220.0,0.0,0.0,0.0
5,2012Q1,S08000015,Lymphoma,50,50,0.0,0.0,373220.0,0.0,0.0,0.0
6,2012Q1,S08000015,Melanoma,34,34,0.0,0.0,373220.0,0.0,0.0,0.0
7,2012Q1,S08000015,Ovarian,24,24,0.0,0.0,373220.0,0.0,0.0,0.0
8,2012Q1,S08000015,Upper GI,84,84,0.0,0.0,373220.0,0.0,0.0,0.0
9,2012Q1,S08000015,Urological,132,128,0.0,0.0,373220.0,0.0,0.0,0.0
10,2012Q1,S08000016,Breast,34,34,0.0,0.0,113720.0,0.0,0.0,0.0
11,2012Q1,S08000016,Cervical,2,2,0.0,0.0,113720.0,0.0,0.0,0.0
12,2012Q1,S08000016,Colorectal,40,40,0.0,0.0,113720.0,0.0,0.0,0.0
13,2012Q1,S08000016,Head & Neck,8,8,0.0,0.0,113720.0,0.0,0.0,0.0
14,2012Q1,S08000016,Lung,50,50,0.0,0.0,113720.0,0.0,0.0,0.0
15,2012Q1,S08000016,Lymphoma,14,14,0.0,0.0,113720.0,0.0,0.0,0.0
16,2012Q1,S08000016,Melanoma,8,8,0.0,0.0,113720.0,0.0,0.0,0.0
17,2012Q1,S08000016,Ovarian,8,8,0.0,0.0,113720.0,0.0,0.0,0.0
18,2012Q1,S08000016,Upper GI,24,24,0.0,0.0,113720.0,0.0,0.0,0.0
19,2012Q1,S08000016,Urological,48,48,0.0,0.0,113720.0,0.0,0.0,0.0
20,2012Q1,S08000017,Breast,46,46,0.0,0.0,150840.0,0.0,0.0,0.0
21,2012Q1,S08000017,Cervical,2,2,0.0,0.0,150840.0,0.0,0.0,0.0
22,2012Q1,S08000017,Colorectal,68,64,0.0,0.0,150840.0,0.0,0.0,0.0
23,2012Q1,S08000017,Head & Neck,16,16,0.0,0.0,150840.0,0.0,0.0,0.0
24,2012Q1,S08000017,Lung,44,44,0.0,0.0,150840.0,0.0,0.0,0.0
25,2012Q1,S08000017,Lymphoma,20,20,0.0,0.0,150840.0,0.0,0.0,0.0
26,2012Q1,S08000017,Melanoma,10,10,0.0,0.0,150840.0,0.0,0.0,0.0
27,2012Q1,S08000017,Ovarian,10,10,0.0,0.0,150840.0,0.0,0.0,0.0
28,2012Q1,S08000017,Upper GI,46,46,0.0,0.0,150840.0,0.0,0.0,0.0
29,2012Q1,S08000017,Urological,86,84,0.0,0.0,150840.0,0.0,0.0,0.0
30,2012Q1,S08000019,Breast,86,82,0.0,0.0,299090.0,0.0,0.0,0.0
31,2012Q1,S08000019,Cervical,4,2,0.0,0.0,299090.0,0.0,0.0,0.0
32,2012Q1,S08000019,Colorectal,92,90,0.0,0.0,299090.0,0.0,0.0,0.0
33,2012Q1,S08000019,Head & Neck,20,20,0.0,0.0,299090.0,0.0,0.0,0.0
34,2012Q1,S08000019,Lung,112,110,0.0,0.0,299090.0,0.0,0.0,0.0
35,2012Q1,S08000019,Lymphoma,24,24,0.0,0.0,299090.0,0.0,0.0,0.0
36,2012Q1,S08000019,Melanoma,18,18,0.0,0.0,299090.0,0.0,0.0,0.0
37,2012Q1,S08000019,Ovarian,18,18,0.0,0.0,299090.0,0.0,0.0,0.0
38,2012Q1,S08000019,Upper GI,56,56,0.0,0.0,299090.0,0.0,0.0,0.0
39,2012Q1,S08000019,Urological,130,114,0.0,0.0,299090.0,0.0,0.0,0.0
40,2012Q1,S08000020,Breast,244,236,0.0,0.0,573400.0,0.0,0.0,0.0
41,2012Q1,S08000020,Cervical,8,8,0.0,0.0,573400.0,0.0,0.0,0.0
42,2012Q1,S08000020,Colorectal,148,146,0.0,0.0,573400.0,0.0,0.0,0.0
43,2012Q1,S08000020,Head & Neck,46,46,0.0,0.0,573400.0,0.0,0.0,0.0
44,2012Q1,S08000020,Lung,136,136,0.0,0.0,573400.0,0.0,0.0,0.0
45,2012Q1,S08000020,Lymphoma,12,12,0.0,0.0,573400.0,0.0,0.0,0.0
